Domain,Details,Entity,Live?,Redirect?,HTTPS?,Force HTTPS?,HSTS?,HSTS Header
cityofparma-oh.gov,City,Non-Federal Agency,true,,false,false,false,
cityofpattersonla.gov,City,Non-Federal Agency,true,,false,false,false,
cityofpearlandtx.gov,City,Non-Federal Agency,false,,false,false,false,
cityofphoenix.gov,City,Non-Federal Agency,true,www.phoenix.gov,false,false,false,
cityofpigeonforgetn.gov,City,Non-Federal Agency,true,,false,false,false,
cityofplainville-ks.gov,City,Non-Federal Agency,true,,false,false,false,
cityofplattsburgh-ny.gov,City,Non-Federal Agency,true,,false,false,false,
cityofpleasantonca.gov,City,Non-Federal Agency,true,,false,false,false,
cityofpocomokemd.gov,City,Non-Federal Agency,true,,false,false,false,
cityofportlandtn.gov,City,Non-Federal Agency,true,,false,false,false,
cityofredmond.gov,City,Non-Federal Agency,false,,false,false,false,
cityofrockhillsc.gov,City,Non-Federal Agency,true,,false,false,false,
cityofrockport-in.gov,City,Non-Federal Agency,true,,false,false,false,
cityofsaffordaz.gov,City,Non-Federal Agency,false,,false,false,false,
cityofsalemnj.gov,City,Non-Federal Agency,true,,false,false,false,
cityofsanteeca.gov,City,Non-Federal Agency,true,,false,false,false,
cityofspartanburg-sc.gov,City,Non-Federal Agency,true,,false,false,false,
cityofstockbridge-ga.gov,City,Non-Federal Agency,true,,false,false,false,
cityofsugar-landtx.gov,City,Non-Federal Agency,false,,false,false,false,
cityofsugarland-tx.gov,City,Non-Federal Agency,false,,false,false,false,
cityofsugarlandtx.gov,City,Non-Federal Agency,false,,false,false,false,
cityoftitusvillepa.gov,City,Non-Federal Agency,true,,false,false,false,
cityoftorranceca.gov,City,Non-Federal Agency,false,,false,false,false,
cityoftukwila-wa.gov,City,Non-Federal Agency,false,,false,false,false,
cityoftyler-tx.gov,City,Non-Federal Agency,false,,false,false,false,
cityoftylertx.gov,City,Non-Federal Agency,false,,false,false,false,
cityofwashingtonga.gov,City,Non-Federal Agency,true,,false,false,false,
cityofweatherbylake-mo.gov,City,Non-Federal Agency,true,,false,false,false,
cityofwestonlakes-tx.gov,City,Non-Federal Agency,true,,false,false,false,
cityofweyauwega-wi.gov,City,Non-Federal Agency,true,,false,false,false,
cityofwheaton-il.gov,City,Non-Federal Agency,false,,false,false,false,
cityofworlandwy.gov,City,Non-Federal Agency,true,,false,false,false,
cityofyukonok.gov,City,Non-Federal Agency,true,,true,false,false,
clairton-pa.gov,City,Non-Federal Agency,true,,false,false,false,
clarkstonga.gov,City,Non-Federal Agency,true,,false,false,false,
claytonmo.gov,City,Non-Federal Agency,true,,true,false,false,
clearlake-wi.gov,City,Non-Federal Agency,true,,false,false,false,
